mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
2.204405115968782747e-01,1.095052550177425948e-01,2.508692285838759586e-65,1.763658946489312037e-195,3.702185509261907814e+00,3.015282507248261276e-63,2.793624014664713683e-193
2.220196533768213076e-01,1.095142601388415099e-01,1.327990610583015254e-64,2.811309537153895950e-193,3.676155547011128899e+00,1.584804180815423853e-62,4.421422382956312053e-191
2.236101074547765521e-01,1.095111793378098636e-01,6.897255159028404862e-64,4.230034645742653123e-191,3.649905763467124142e+00,8.172536831258327607e-62,6.605371586883194817e-189
2.252119548672209537e-01,1.094961508629090502e-01,3.515484040461961222e-63,6.011805844552256789e-189,3.623448042447509287e+00,4.135858905777205727e-61,9.320908953646193502e-187
2.268252772311421528e-01,1.094693152695526417e-01,1.758791361074435324e-62,8.075567749158715237e-187,3.596794100188308807e+00,2.054446789807061242e-60,1.243158129826111258e-184
2.284501567481969087e-01,1.094308152892572716e-01,8.638843839212093731e-62,1.025950527452430015e-184,3.569955482073191355e+00,1.001927247036053491e-59,1.568121533343438080e-182
2.300866762088998874e-01,1.093807957006327075e-01,4.166772023447976279e-61,1.233502371711367665e-182,3.542943559620770788e+00,4.798221509483054679e-59,1.871945835433218043e-180
2.317349189968413714e-01,1.093194032024667472e-01,1.973950925409249093e-60,1.404383220219790875e-180,3.515769527723579202e+00,2.256923793607434583e-58,2.116113272955395584e-178
2.333949690929363330e-01,1.092467862889564129e-01,9.186585476428770309e-60,1.515067974792110746e-178,3.488444402132181654e+00,1.042880756774114300e-57,2.266654817458819193e-176
2.350669110797031225e-01,1.091630951271319316e-01,4.200884106325732094e-59,1.549691198396532762e-176,3.460979017177921779e+00,4.735013527216743118e-57,2.301963461056650195e-174
2.367508301455729658e-01,1.090684814365160127e-01,1.887916363764830843e-58,1.503790985360310208e-174,3.433384023727708456e+00,2.112823722373457403e-56,2.217893695608558152e-172
2.384468120892311305e-01,1.089630983710565132e-01,8.339997994832710236e-58,1.385220045921623443e-172,3.405669887364232373e+00,9.267155487215522910e-56,2.028485964410072192e-170
2.401549433239875686e-01,1.088471004033661066e-01,3.622221371621866445e-57,1.211980986280940231e-170,3.377846886785022651e+00,3.996276067872709221e-55,1.762175001294655668e-168
2.418753108821806441e-01,1.087206432112997334e-01,1.547011770704926321e-56,1.007795572670070684e-168,3.349925112413690620e+00,1.694626922135030797e-54,1.454874947157590208e-166
2.436080024196111415e-01,1.085838835668948010e-01,6.498372819977719378e-56,7.968923467738164548e-167,3.321914465216781132e+00,7.067813762270467884e-54,1.142228166177811778e-164
2.453531062200084711e-01,1.084369792276980160e-01,2.685281714592808149e-55,5.995502049275953677e-165,3.293824655719622907e+00,2.899815173651079053e-53,8.532548293019919726e-163
2.471107111995294314e-01,1.082800888304962100e-01,1.091767670885901320e-54,4.294330322936400470e-163,3.265665203214611179e+00,1.170605831932620907e-52,6.068042820846985316e-161
2.488809069112877526e-01,1.081133717874679101e-01,4.368232549259172894e-54,2.929893592543328411e-161,3.237445435155415385e+00,4.650355927577444986e-52,4.110598194938802150e-159
2.506637835499176958e-01,1.079369881847665052e-01,1.720265614845688144e-53,1.905173444120665813e-159,3.209174486730590026e+00,1.818343557059023358e-51,2.653919151737347227e-157
