fig8_f001_c01 M=3.16e+09: completed_cycle; SF=30.075894369074614; quench=15.411878583717435; 0.153s; cached=False
fig8_f001_c01 M=4.64e+09: completed_cycle; SF=36.28909475998971; quench=6.691770750722256; 0.150s; cached=False
fig8_f001_c01 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.165s; cached=False
fig8_f001_c01 M=1e+10: numerical_failure; SF=None; quench=None; 0.160s; cached=False
fig8_f001_c01 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.183s; cached=False
fig8_f001_c01 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.199s; cached=False
fig8_f001_c01 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.197s; cached=False
fig8_f001_c01 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.217s; cached=False
fig8_f001_c01 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c01 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.197s; cached=False
fig8_f001_c01 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.206s; cached=False
fig8_f001_c01 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c01 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.206s; cached=False
fig8_f001_c01 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c01 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c01 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c01 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.202s; cached=False
fig8_f001_c01 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c01 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c01 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.208s; cached=False
fig8_f001_c01 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.193s; cached=False
fig8_f001_c01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c005 M=1e+08: completed_cycle; SF=7.0986689045257805; quench=62.030956393697195; 0.207s; cached=False
fig8_f001_c005 M=1.47e+08: completed_cycle; SF=8.345603642034806; quench=54.394437383803705; 0.186s; cached=False
fig8_f001_c005 M=2.15e+08: completed_cycle; SF=9.829668780460487; quench=45.20333578708482; 0.177s; cached=False
fig8_f001_c005 M=3.16e+08: completed_cycle; SF=11.60059966888412; quench=26.648886494812764; 0.148s; cached=False
fig8_f001_c005 M=4.64e+08: completed_cycle; SF=13.720420339001635; quench=21.57109928072766; 0.139s; cached=False
fig8_f001_c005 M=6.81e+08: completed_cycle; SF=16.267303879479325; quench=16.501071743815938; 0.133s; cached=False
fig8_f001_c005 M=1e+09: completed_cycle; SF=19.34120351673765; quench=10.229520134625957; 0.125s; cached=False
fig8_f001_c005 M=1.47e+09: completed_cycle; SF=23.071964157724675; quench=3.121810417107607; 0.117s; cached=False
fig8_f001_c005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.129s; cached=False
fig8_f001_c005 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f001_c005 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.160s; cached=False
fig8_f001_c005 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.152s; cached=False
fig8_f001_c005 M=1e+10: numerical_failure; SF=None; quench=None; 0.164s; cached=False
fig8_f001_c005 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.184s; cached=False
fig8_f001_c005 M=2.15e+10: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c005 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.194s; cached=False
fig8_f001_c005 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.206s; cached=False
fig8_f001_c005 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c005 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c005 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.207s; cached=False
fig8_f001_c005 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.193s; cached=False
fig8_f001_c005 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.190s; cached=False
fig8_f001_c005 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.207s; cached=False
fig8_f001_c005 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.202s; cached=False
fig8_f001_c005 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.200s; cached=False
fig8_f001_c005 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.198s; cached=False
fig8_f001_c005 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.201s; cached=False
fig8_f001_c005 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.202s; cached=False
fig8_f001_c005 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.207s; cached=False
fig8_f001_c005 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.240s; cached=False
fig8_f001_c005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.236s; cached=False
fig8_f001_c0005 M=1e+08: numerical_failure; SF=None; quench=None; 0.177s; cached=False
fig8_f001_c0005 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.133s; cached=False
