fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig8_f001_c0005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.254s; cached=False
fig8_f001_lowgas M=1e+08: completed_cycle; SF=6.725004898841651; quench=120.02532786565921; 0.423s; cached=False
fig8_f001_lowgas M=1.47e+08: completed_cycle; SF=7.987206123217087; quench=108.20931736883092; 0.382s; cached=False
fig8_f001_lowgas M=2.15e+08: completed_cycle; SF=9.51731476258451; quench=100.03932789059475; 0.408s; cached=False
fig8_f001_lowgas M=3.16e+08: completed_cycle; SF=11.380993011790649; quench=92.63480582268535; 0.346s; cached=False
fig8_f001_lowgas M=4.64e+08: completed_cycle; SF=13.66300475344719; quench=70.9705790372521; 0.304s; cached=False
fig8_f001_lowgas M=6.81e+08: completed_cycle; SF=16.47375577431699; quench=65.12921240227249; 0.289s; cached=False
fig8_f001_lowgas M=1e+09: completed_cycle; SF=19.958659895688783; quench=60.363403664699376; 0.275s; cached=False
fig8_f001_lowgas M=1.47e+09: numerical_failure; SF=None; quench=None; 0.137s; cached=False
fig8_f001_lowgas M=2.15e+09: numerical_failure; SF=None; quench=None; 0.151s; cached=False
fig8_f001_lowgas M=3.16e+09: numerical_failure; SF=None; quench=None; 0.151s; cached=False
fig8_f001_lowgas M=4.64e+09: numerical_failure; SF=None; quench=None; 0.166s; cached=False
